cluster,id_dep,departamento,id_region,region,fuente_gps,cluster_urb_rur,lat,lon,alt_gps,alt_dem
4853,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
1271,68,santander,2,oriental,GAZ,U,5.75689597498,-73.86803171490,23.00000000000,2693.00000000000
1305,68,santander,2,oriental,GAZ,R,5.76343109288,-73.86612750540,50.00000000000,2693.00000000000
1303,68,santander,2,oriental,GAZ,R,5.80320045578,-73.86229842340,59.00000000000,2693.00000000000
4602,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4642,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4643,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4644,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4645,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4647,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4691,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4692,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4719,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4722,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4724,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4726,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4871,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
1302,68,santander,2,oriental,GAZ,R,5.77213215602,-73.85513860580,86.00000000000,2693.00000000000
3570,52,narino,4,pacifica,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
1306,68,santander,2,oriental,GAZ,R,5.77890195319,-73.84829552690,102.00000000000,2693.00000000000
4773,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
1269,68,santander,2,oriental,GAZ,U,5.77252392202,-73.86248742990,109.00000000000,2693.00000000000
4788,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4904,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4775,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
4787,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
1301,68,santander,2,oriental,GAZ,R,5.78209161947,-73.86062461540,118.00000000000,2693.00000000000
4796,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
1270,68,santander,2,oriental,GAZ,U,5.76962523711,-73.86533014310,122.00000000000,2693.00000000000
1304,68,santander,2,oriental,GAZ,R,5.78390017812,-73.82987506990,138.00000000000,2693.00000000000
2833,73,tolima,3,central,GPS,R,3.08902179502,-75.88773388770,363.00000000000,2847.00000000000
3756,27,choco,4,pacifica,GPS,R,5.56911500000,-76.08299700000,52.00000000000,2531.00000000000
995,23,cordoba,1,atlantica,GAZ,R,9.33140172899,-75.95097407440,2364.00000000000,4.00000000000
4790,11,bogota,5,bogota,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
976,23,cordoba,1,atlantica,GAZ,R,8.16012288991,-75.45275354980,2152.00000000000,43.00000000000
975,23,cordoba,1,atlantica,GAZ,R,8.16593879050,-75.46016483790,2114.00000000000,43.00000000000
977,23,cordoba,1,atlantica,GAZ,R,8.66763435341,-75.70126921030,2128.00000000000,106.00000000000
973,23,cordoba,1,atlantica,GAZ,R,8.17821211025,-75.43895462880,1665.00000000000,43.00000000000
972,23,cordoba,1,atlantica,GAZ,R,8.15115610137,-75.45588622050,1662.00000000000,43.00000000000
974,23,cordoba,1,atlantica,GAZ,R,8.19532587912,-75.40995308410,1651.00000000000,43.00000000000
2315,66,risaralda,3,central,GPS,U,4.80935447093,-75.71969209340,9999.00000000000,1386.00000000000
1901,5,antioquia,3,central,GPS,U,6.92246918981,-75.56004669590,1569.00000000000,2900.00000000000
1869,5,antioquia,3,central,GPS,U,6.05884142449,-75.55192125060,1544.00000000000,2793.00000000000
2524,63,quindio,3,central,GPS,U,4.25812630501,-75.70078973540,1457.00000000000,2702.00000000000
2144,17,caldas,3,central,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
221,20,cesar,1,atlantica,GPS,R,8.39809878626,-73.39410832930,115.00000000000,1330.00000000000
1313,68,santander,2,oriental,GAZ,R,6.32509448738,-73.83826524070,4.00000000000,1123.00000000000
1275,68,santander,2,oriental,GAZ,U,6.29136538220,-73.85630573540,7.00000000000,1123.00000000000
1312,68,santander,2,oriental,GAZ,R,6.28856259672,-73.86879639340,11.00000000000,1123.00000000000
1314,68,santander,2,oriental,GAZ,R,6.30045253924,-73.86811605800,16.00000000000,1123.00000000000
1264,68,santander,2,oriental,GAZ,U,6.95546217196,-73.02309221350,11.00000000000,1095.00000000000
1265,68,santander,2,oriental,GAZ,U,6.95564672987,-73.00749724680,13.00000000000,1095.00000000000
1315,68,santander,2,oriental,GAZ,R,6.33140690463,-73.83107412050,41.00000000000,1123.00000000000
1277,68,santander,2,oriental,GAZ,U,6.30855301529,-73.84675193440,42.00000000000,1123.00000000000
1263,68,santander,2,oriental,GAZ,U,6.95536646112,-73.02379285660,17.00000000000,1095.00000000000
1607,25,cundinamarca,2,oriental,GPS,R,4.43711605752,-74.54261572250,1506.00000000000,430.00000000000
1316,68,santander,2,oriental,GAZ,R,6.29594553962,-73.85586736720,53.00000000000,1123.00000000000
1260,68,santander,2,oriental,GAZ,U,6.95380762316,-73.02926250970,31.00000000000,1095.00000000000
1712,50,meta,2,oriental,GPS,U,4.29722521954,-73.61434241360,424.00000000000,1485.00000000000
1261,68,santander,2,oriental,GAZ,U,6.95054769574,-73.02447518230,39.00000000000,1095.00000000000
1266,68,santander,2,oriental,GAZ,U,6.95208782093,-73.02951044090,44.00000000000,1095.00000000000
1276,68,santander,2,oriental,GAZ,U,6.30833390148,-73.84883678170,82.00000000000,1123.00000000000
1267,68,santander,2,oriental,GAZ,U,6.94015587712,-73.03299901390,61.00000000000,1095.00000000000
1268,68,santander,2,oriental,GAZ,U,6.95624183753,-73.02312710960,67.00000000000,1095.00000000000
1262,68,santander,2,oriental,GAZ,U,6.97019579344,-73.01682583940,83.00000000000,1095.00000000000
3148,76,valle,4,pacifica,MIS,U,0.00000000000,0.00000000000,9999.00000000000,9999.00000000000
1815,5,antioquia,3,central,GPS,U,6.27005459652,-75.52142248440,1501.00000000000,2489.00000000000
904,23,cordoba,1,atlantica,GAZ,U,8.59092236027,-75.94347870980,1079.00000000000,109.00000000000
994,23,cordoba,1,atlantica,GAZ,R,9.32381447834,-75.98889777720,956.00000000000,4.00000000000
1204,68,santander,2,oriental,GAZ,U,7.13486419678,-73.14141976540,14.00000000000,940.00000000000
1198,68,santander,2,oriental,GAZ,U,7.14012173327,-73.13028107920,15.00000000000,940.00000000000
984,23,cordoba,1,atlantica,GAZ,R,9.14217506065,-75.51028795290,1011.00000000000,88.00000000000
